  X         Y         Z       PDOP   TDOP   GDOP
-2148731.49    4426649.13    4044662.45    2.15    1.20    2.46

-2148733.27    4426651.24    4044664.74    2.15    1.19    2.46

-2148732.89    4426647.03    4044662.58    2.14    1.19    2.45

-2148732.03    4426651.05    4044665.29    2.14    1.18    2.44

-2148730.90    4426648.11    4044654.85    2.27    1.28    2.61

-2148730.88    4426647.25    4044654.28    2.27    1.27    2.60

-2148731.68    4426650.39    4044657.33    2.26    1.27    2.59

-2148731.19    4426650.70    4044656.70    2.26    1.26    2.59

-2148732.52    4426650.98    4044657.77    2.25    1.26    2.58

-2148732.01    4426649.96    4044656.34    2.24    1.25    2.57

-2148730.05    4426646.31    4044656.23    2.24    1.25    2.56

-2148733.48    4426653.78    4044657.85    2.23    1.25    2.56

-2148732.01    4426651.16    4044656.63    2.23    1.24    2.55

-2148733.19    4426653.58    4044656.75    2.22    1.24    2.54

-2148731.40    4426651.97    4044656.60    2.22    1.23    2.54

-2148730.20    4426644.78    4044653.98    2.21    1.23    2.53

-2148733.73    4426651.67    4044657.36    2.21    1.22    2.52

-2148735.04    4426656.68    4044660.20    2.20    1.22    2.52

-2148735.92    4426657.46    4044659.49    2.20    1.21    2.51

-2148733.66    4426652.62    4044657.57    2.19    1.21    2.50

-2148731.71    4426646.85    4044656.77    2.19    1.20    2.50

-2148731.42    4426645.99    4044656.42    2.18    1.20    2.49

-2148733.21    4426647.19    4044655.15    2.18    1.20    2.48

-2148732.68    4426652.17    4044658.17    2.17    1.19    2.48

-2148731.86    4426648.39    4044656.48    2.17    1.19    2.47

-2148737.14    4426659.72    4044660.61    2.16    1.18    2.46

-2148733.89    4426653.63    4044658.57    2.16    1.18    2.46

-2148733.89    4426652.50    4044658.41    2.15    1.18    2.45

-2148733.56    4426651.52    4044659.02    2.15    1.17    2.45

-2148736.95    4426660.51    4044661.60    2.14    1.17    2.44

-2148734.75    4426655.91    4044657.57    2.14    1.16    2.44

-2148734.98    4426655.47    4044656.13    2.14    1.16    2.43

-2148736.90    4426660.54    4044658.73    2.13    1.16    2.42

-2148736.52    4426659.61    4044658.41    2.13    1.15    2.42

-2148735.51    4426656.32    4044660.09    2.12    1.15    2.41

-2148736.38    4426658.12    4044659.21    2.12    1.14    2.41

-2148738.94    4426663.26    4044662.29    2.12    1.14    2.40

-2148737.46    4426658.03    4044661.47    2.11    1.14    2.40

-2148735.91    4426657.45    4044659.14    2.11    1.13    2.39

-2148741.41    4426672.47    4044665.29    3.07    1.88    3.60

-2148742.46    4426673.61    4044664.17    3.05    1.86    3.57

-2148742.96    4426675.35    4044665.86    3.03    1.85    3.55

-2148742.87    4426672.79    4044664.98    3.01    1.83    3.52

-2148744.69    4426674.37    4044668.09    2.99    1.82    3.50

-2148742.40    4426672.25    4044667.06    2.97    1.80    3.47

-2148743.60    4426674.87    4044667.48    2.95    1.78    3.45

-2148742.42    4426672.94    4044666.57    2.93    1.77    3.42

-2148742.71    4426672.73    4044665.08    2.91    1.75    3.40

-2148743.25    4426674.40    4044665.99    2.89    1.74    3.37

-2148743.28    4426672.01    4044667.16    2.87    1.72    3.35

-2148741.28    4426671.38    4044665.61    2.85    1.71    3.33

-2148744.14    4426674.34    4044667.04    2.84    1.69    3.30

-2148743.57    4426671.23    4044665.80    1.75    1.03    2.03

-2148747.10    4426672.77    4044666.53    2.24    1.30    2.59

-2148746.04    4426672.03    4044666.95    2.23    1.29    2.58

-2148746.25    4426672.78    4044666.87    2.22    1.28    2.56

-2148745.21    4426671.37    4044666.01    2.21    1.27    2.55

-2148744.10    4426669.53    4044666.48    2.20    1.26    2.54

-2148744.93    4426671.63    4044666.50    2.19    1.25    2.53

-2148743.30    4426669.30    4044666.24    2.18    1.25    2.51

-2148744.04    4426669.38    4044664.99    2.17    1.24    2.50

-2148744.82    4426669.88    4044666.73    2.17    1.23    2.49

-2148744.41    4426668.65    4044665.73    2.16    1.22    2.48

-2148744.23    4426667.61    4044664.52    2.15    1.21    2.47

-2148744.61    4426668.77    4044666.03    2.14    1.20    2.46

-2148744.79    4426668.42    4044666.28    2.13    1.20    2.45

-2148745.88    4426669.36    4044667.57    2.12    1.19    2.43

-2148743.93    4426667.11    4044663.49    2.12    1.18    2.42

-2148751.10    4426674.93    4044664.34    1.44    0.74    1.62

-2148749.67    4426673.90    4044663.56    1.44    0.73    1.62

-2148749.93    4426674.53    4044666.26    1.44    0.73    1.62

-2148749.71    4426673.69    4044666.12    1.44    0.73    1.62

-2148750.27    4426674.08    4044664.35    1.44    0.73    1.61

-2148749.31    4426671.13    4044665.57    1.44    0.73    1.61

-2148748.67    4426670.39    4044665.55    1.44    0.73    1.61

-2148749.60    4426672.29    4044666.35    1.44    0.73    1.61

-2148746.83    4426670.56    4044665.53    1.44    0.72    1.61

-2148750.25    4426672.05    4044665.39    1.43    0.72    1.61

-2148748.40    4426670.66    4044665.48    1.43    0.72    1.60

-2148748.39    4426670.50    4044664.05    1.43    0.72    1.60

-2148750.29    4426671.94    4044664.39    1.43    0.72    1.60

-2148747.32    4426669.21    4044665.18    1.43    0.72    1.60

-2148749.87    4426671.19    4044665.92    1.43    0.71    1.59

-2148750.60    4426672.39    4044666.09    1.42    0.71    1.59

-2148748.63    4426670.10    4044662.94    1.42    0.71    1.59

-2148748.57    4426670.61    4044666.18    1.42    0.71    1.59

-2148749.41    4426670.62    4044665.02    1.42    0.71    1.59

-2148748.06    4426669.02    4044664.47    1.42    0.70    1.58

-2148751.58    4426672.18    4044663.97    1.42    0.70    1.58

-2148748.07    4426669.30    4044664.24    1.41    0.70    1.58

-2148751.20    4426670.98    4044664.06    1.41    0.70    1.58

-2148749.10    4426669.29    4044667.38    1.41    0.70    1.57

-2148749.33    4426670.33    4044668.61    1.41    0.69    1.57

-2148748.59    4426668.32    4044665.00    1.41    0.69    1.57

-2148745.30    4426667.04    4044665.38    1.40    0.69    1.56

-2148748.99    4426669.95    4044663.65    1.40    0.69    1.56

-2148744.57    4426667.47    4044667.11    1.40    0.69    1.56

-2148749.41    4426669.68    4044665.34    1.40    0.68    1.56

-2148749.89    4426668.49    4044663.97    1.39    0.68    1.55

-2148747.25    4426666.33    4044663.01    1.39    0.68    1.55

-2148748.80    4426668.42    4044666.51    1.39    0.68    1.55

-2148748.64    4426667.51    4044666.53    1.39    0.68    1.54

-2148745.58    4426667.11    4044669.26    1.39    0.67    1.54

-2148751.14    4426670.18    4044666.23    1.38    0.67    1.54

-2148747.03    4426666.85    4044669.23    1.38    0.67    1.54

-2148750.20    4426669.12    4044667.60    1.38    0.67    1.53

-2148743.99    4426664.81    4044664.07    1.38    0.67    1.53

-2148748.01    4426668.26    4044668.95    1.37    0.66    1.53

-2148751.62    4426669.31    4044666.93    1.37    0.66    1.52

-2148749.43    4426667.79    4044666.71    1.37    0.66    1.52

-2148748.34    4426665.99    4044666.42    1.37    0.66    1.52

-2148750.46    4426668.87    4044666.75    1.37    0.65    1.51

